dataset,model,method,seed,split_seed,model_seed,protected_attribute,privileged_group,unprivileged_group,n_train,n_val,n_test,accuracy,f1,spd,eod,disparate_impact,train_time_sec,single_pred_latency_ms,batch_256_latency_ms,implementation_loc_added,implementation_dependencies_added,implementation_hyperparams,implementation_stage,implementation_complexity_score,method_hyperparams,aif360_version,sklearn_version,notes
compas,lr,dir,46,46,46,race,[{'race': 1.0}],[{'race': 0.0}],3700,1233,1234,0.6539708265802269,0.5882352941176471,-0.14318474318474317,-0.06790865384615385,0.7981959995382815,0.24589969997759908,6.314550002571195,14.295850007329136,24,1,2,preprocessing,3,"repair_level=1.0,n_quantiles=101,train_only_fit=True",0.6.1,1.5.2,
compas,lr,dir,47,47,47,race,[{'race': 1.0}],[{'race': 0.0}],3700,1233,1234,0.673419773095624,0.6265060240963856,-0.20200070200070197,-0.14002403846153844,0.7171990171990172,0.24759030004497617,6.282399990595877,13.922100013587624,24,1,2,preprocessing,3,"repair_level=1.0,n_quantiles=101,train_only_fit=True",0.6.1,1.5.2,
compas,lr,dir,48,48,48,race,[{'race': 1.0}],[{'race': 0.0}],3700,1233,1234,0.6547811993517018,0.6026119402985075,-0.23671463671463677,-0.16556490384615385,0.6813456813456813,0.3058418999426067,6.335149984806776,14.334700012113899,24,1,2,preprocessing,3,"repair_level=1.0,n_quantiles=101,train_only_fit=True",0.6.1,1.5.2,
compas,lr,dir,49,49,49,race,[{'race': 1.0}],[{'race': 0.0}],3700,1233,1234,0.6661264181523501,0.6120527306967984,-0.1811161811161811,-0.16195913461538458,0.7464373464373465,0.29712690005544573,6.2602999387308955,14.114100020378828,24,1,2,preprocessing,3,"repair_level=1.0,n_quantiles=101,train_only_fit=True",0.6.1,1.5.2,
compas,lr,dir,50,50,50,race,[{'race': 1.0}],[{'race': 0.0}],3700,1233,1234,0.6564019448946515,0.5954198473282443,-0.2108400608400609,-0.17848557692307687,0.7170836244318671,0.27789219992700964,6.281949987169355,13.69299995712936,24,1,2,preprocessing,3,"repair_level=1.0,n_quantiles=101,train_only_fit=True",0.6.1,1.5.2,
compas,lr,dir,51,51,51,race,[{'race': 1.0}],[{'race': 0.0}],3700,1233,1234,0.6547811993517018,0.5911708253358925,-0.20346905346905353,-0.1484375,0.7269744330447205,0.27578079991508275,6.341649976093322,13.874700001906604,24,1,2,preprocessing,3,"repair_level=1.0,n_quantiles=101,train_only_fit=True",0.6.1,1.5.2,
compas,rf,dir,42,42,42,race,[{'race': 1.0}],[{'race': 0.0}],3700,1233,1234,0.6369529983792545,0.5844155844155844,-0.15023985023985031,-0.11087740384615385,0.7793680520953247,0.8053586998721585,8.540300070308149,21.950799971818924,24,1,2,preprocessing,3,"repair_level=1.0,n_quantiles=101,train_only_fit=True",0.6.1,1.5.2,
compas,rf,dir,43,43,43,race,[{'race': 1.0}],[{'race': 0.0}],3700,1233,1234,0.6491085899513777,0.6038426349496798,-0.17227682227682228,-0.08563701923076927,0.7478875771558698,0.8109846999868751,8.450150024145842,21.929700043983757,24,1,2,preprocessing,3,"repair_level=1.0,n_quantiles=101,train_only_fit=True",0.6.1,1.5.2,
compas,rf,dir,44,44,44,race,[{'race': 1.0}],[{'race': 0.0}],3700,1233,1234,0.6434359805510534,0.5970695970695971,-0.1493915993915993,-0.11808894230769229,0.7767100649662928,0.7898885000031441,8.413550036493689,22.101550013758242,24,1,2,preprocessing,3,"repair_level=1.0,n_quantiles=101,train_only_fit=True",0.6.1,1.5.2,
compas,rf,dir,45,45,45,race,[{'race': 1.0}],[{'race': 0.0}],3700,1233,1234,0.6312803889789304,0.585232452142206,-0.15914355914355904,-0.09164663461538458,0.762977677871295,0.9385282000293955,8.596450032200664,21.934099961072206,24,1,2,preprocessing,3,"repair_level=1.0,n_quantiles=101,train_only_fit=True",0.6.1,1.5.2,
compas,rf,dir,46,46,46,race,[{'race': 1.0}],[{'race': 0.0}],3700,1233,1234,0.6353322528363047,0.5967741935483871,-0.12112437112437113,-0.045372596153846145,0.8080292985953363,0.8194536998635158,8.4509999724105,22.43889996316284,24,1,2,preprocessing,3,"repair_level=1.0,n_quantiles=101,train_only_fit=True",0.6.1,1.5.2,
compas,rf,dir,47,47,47,race,[{'race': 1.0}],[{'race': 0.0}],3700,1233,1234,0.6410048622366289,0.603401969561325,-0.144009594009594,-0.08864182692307687,0.7768116993209244,0.8104670001193881,14.22394992550835,29.8372499528341,24,1,2,preprocessing,3,"repair_level=1.0,n_quantiles=101,train_only_fit=True",0.6.1,1.5.2,
compas,rf,dir,48,48,48,race,[{'race': 1.0}],[{'race': 0.0}],3700,1233,1234,0.6304700162074555,0.5899280575539568,-0.19561834561834562,-0.09194711538461542,0.7137292503146162,1.624898700043559,10.001149959862232,24.635599926114082,24,1,2,preprocessing,3,"repair_level=1.0,n_quantiles=101,train_only_fit=True",0.6.1,1.5.2,
compas,rf,dir,49,49,49,race,[{'race': 1.0}],[{'race': 0.0}],3700,1233,1234,0.653160453808752,0.608058608058608,-0.1385632385632385,-0.10366586538461542,0.7906598554080569,0.906560399918817,8.71094997273758,22.90879999054596,24,1,2,preprocessing,3,"repair_level=1.0,n_quantiles=101,train_only_fit=True",0.6.1,1.5.2,
compas,rf,dir,50,50,50,race,[{'race': 1.0}],[{'race': 0.0}],3700,1233,1234,0.6499189627228525,0.6072727272727273,-0.16282906282906273,-0.10546875,0.7574886298290555,1.1323602000484243,11.07789995148778,29.200199991464615,24,1,2,preprocessing,3,"repair_level=1.0,n_quantiles=101,train_only_fit=True",0.6.1,1.5.2,
compas,rf,dir,51,51,51,race,[{'race': 1.0}],[{'race': 0.0}],3700,1233,1234,0.6491085899513777,0.612354521038496,-0.12957177957177957,-0.08924278846153844,0.7961792231455153,1.8693493000464514,11.553450021892786,33.48784998524934,24,1,2,preprocessing,3,"repair_level=1.0,n_quantiles=101,train_only_fit=True",0.6.1,1.5.2,
german,lr,dir,42,42,42,age,[{'age': 1.0}],[{'age': 0.0}],600,200,200,0.77,0.8357142857142857,-0.27940220922677067,-0.2904468412942989,0.628990509059534,0.02723779994994402,1.1562500149011612,2.3241000017151237,24,1,2,preprocessing,3,"repair_level=1.0,n_quantiles=101,train_only_fit=True",0.6.1,1.5.2,
german,lr,dir,43,43,43,age,[{'age': 1.0}],[{'age': 0.0}],600,200,200,0.735,0.822742474916388,-0.1692657569850552,-0.17950693374422189,0.7953652788688139,0.020353699917905033,1.0740499128587544,2.401399950031191,24,1,2,preprocessing,3,"repair_level=1.0,n_quantiles=101,train_only_fit=True",0.6.1,1.5.2,
german,lr,dir,44,44,44,age,[{'age': 1.0}],[{'age': 0.0}],600,200,200,0.78,0.8482758620689655,-0.2436647173489278,-0.12557781201849005,0.6940024479804162,0.025094700045883656,1.04385003214702,2.5146499974653125,24,1,2,preprocessing,3,"repair_level=1.0,n_quantiles=101,train_only_fit=True",0.6.1,1.5.2,
german,lr,dir,45,45,45,age,[{'age': 1.0}],[{'age': 0.0}],600,200,200,0.69,0.7905405405405406,-0.1507472384665367,-0.23651771956856704,0.8135797509039775,0.03497659997083247,1.1029999586753547,3.033399989362806,24,1,2,preprocessing,3,"repair_level=1.0,n_quantiles=101,train_only_fit=True",0.6.1,1.5.2,
german,lr,dir,46,46,46,age,[{'age': 1.0}],[{'age': 0.0}],600,200,200,0.745,0.8247422680412371,-0.022417153996101447,0.06163328197226503,0.9704749679075737,0.023704899824224412,1.0081499931402504,2.4916499969549477,24,1,2,preprocessing,3,"repair_level=1.0,n_quantiles=101,train_only_fit=True",0.6.1,1.5.2,
german,lr,dir,47,47,47,age,[{'age': 1.0}],[{'age': 0.0}],600,200,200,0.765,0.8384879725085911,-0.15237166991552964,-0.17103235747303547,0.8056361375880645,0.023875099956057966,1.0307999909855425,2.1929999929852784,24,1,2,preprocessing,3,"repair_level=1.0,n_quantiles=101,train_only_fit=True",0.6.1,1.5.2,
