dataset,model,method,seed,split_seed,model_seed,protected_attribute,privileged_group,unprivileged_group,n_train,n_val,n_test,accuracy,f1,spd,eod,disparate_impact,train_time_sec,single_pred_latency_ms,batch_256_latency_ms,implementation_loc_added,implementation_dependencies_added,implementation_hyperparams,implementation_stage,implementation_complexity_score,method_hyperparams,aif360_version,sklearn_version,notes
adult,lr,eqodds,789,789,789,sex,[{'sex': 1.0}],[{'sex': 0.0}],27133,9044,9045,0.8221116639027087,0.6147953076370601,-0.09815450462493899,0.00955949735748629,0.6007119218921536,0.08318410022184253,0.11234998237341642,0.2587999915704131,22,0,1,postprocessing,3,"{""C"": 0.1, ""val_acc"": 0.8476337903582486}",0.6.1,1.5.2,tuned_hp
adult,rf,baseline,789,789,789,sex,[{'sex': 1.0}],[{'sex': 0.0}],27133,9044,9045,0.8511885019347706,0.6467191601049869,-0.15951974457823323,-0.08280294756399154,0.2916163197129512,1.8364798999391496,3.742750035598874,7.705199997872114,0,0,3,none,1,"{""n_estimators"": 200, ""max_depth"": 10, ""class_weight"": null, ""val_acc"": 0.8543785935426802}",0.6.1,1.5.2,tuned_hp
adult,rf,reweighing,789,789,789,sex,[{'sex': 1.0}],[{'sex': 0.0}],27133,9044,9045,0.8509673852957435,0.6401494927923118,-0.09057133657878334,0.15261615134510853,0.5372145764434719,1.032742700073868,2.0074498606845737,3.809249959886074,6,0,3,preprocessing,2,"{""n_estimators"": 100, ""max_depth"": 10, ""class_weight"": null, ""val_acc"": 0.8528306059265811}",0.6.1,1.5.2,tuned_hp
adult,rf,dir,789,789,789,sex,[{'sex': 1.0}],[{'sex': 0.0}],27133,9044,9045,0.8468767274737424,0.6317468758308961,-0.15401497665101524,-0.10195960280696464,0.2934519553485357,1.0595752000808716,3.482250147499144,7.8066999558359385,24,1,5,preprocessing,3,"{""n_estimators"": 100, ""max_depth"": 10, ""class_weight"": null, ""val_acc"": 0.8501769128704113, ""repair_level"": 1.0, ""n_quantiles"": 101}",0.6.1,1.5.2,tuned_hp
adult,rf,eqodds,789,789,789,sex,[{'sex': 1.0}],[{'sex': 0.0}],27133,9044,9045,0.8245439469320066,0.5705006765899865,-0.0802027958599616,0.035115303983228485,0.5704225688412934,2.1280704997479916,3.928749938495457,7.817500038072467,22,0,3,postprocessing,3,"{""n_estimators"": 200, ""max_depth"": 10, ""class_weight"": null, ""val_acc"": 0.8543785935426802}",0.6.1,1.5.2,tuned_hp
adult,lr,baseline,1024,1024,1024,sex,[{'sex': 1.0}],[{'sex': 0.0}],27133,9044,9045,0.8446655610834716,0.6507581406910266,-0.18079478715985828,-0.08797813178674097,0.29280399077636476,0.08741460018791258,0.04309997893869877,0.11310004629194736,0,0,1,none,1,"{""C"": 0.1, ""val_acc"": 0.8478549314462627}",0.6.1,1.5.2,tuned_hp
adult,lr,reweighing,1024,1024,1024,sex,[{'sex': 1.0}],[{'sex': 0.0}],27133,9044,9045,0.8379215035931454,0.6244877049180327,-0.08116576525390662,0.17731518095883703,0.6137192808726782,0.07644960004836321,0.047999899834394455,0.13860000763088465,6,0,1,preprocessing,2,"{""C"": 0.1, ""val_acc"": 0.8425475453339231}",0.6.1,1.5.2,tuned_hp
adult,lr,dir,1024,1024,1024,sex,[{'sex': 1.0}],[{'sex': 0.0}],27133,9044,9045,0.8458817025981205,0.6534062655395325,-0.17911893845009014,-0.08708055586939334,0.29755925614884365,0.363769399933517,1.5872000949457288,3.529250039719045,24,1,3,preprocessing,3,"{""C"": 10.0, ""val_acc"": 0.8485183547103051, ""repair_level"": 1.0, ""n_quantiles"": 101}",0.6.1,1.5.2,tuned_hp
adult,lr,eqodds,1024,1024,1024,sex,[{'sex': 1.0}],[{'sex': 0.0}],27133,9044,9045,0.8180210060807076,0.5913604766633564,-0.08685693053213128,0.0266385468057595,0.6151317722574793,0.11250329972244799,0.12430013157427311,0.3058499423786998,22,0,1,postprocessing,3,"{""C"": 0.1, ""val_acc"": 0.8478549314462627}",0.6.1,1.5.2,tuned_hp
adult,rf,baseline,1024,1024,1024,sex,[{'sex': 1.0}],[{'sex': 0.0}],27133,9044,9045,0.8538419016030956,0.6513713080168776,-0.16766037722811705,-0.1336289684781381,0.2576256248332976,1.908682500012219,3.8166000740602612,7.876400020904839,0,0,3,none,1,"{""n_estimators"": 200, ""max_depth"": 10, ""class_weight"": null, ""val_acc"": 0.8545997346306944}",0.6.1,1.5.2,tuned_hp
adult,rf,reweighing,1024,1024,1024,sex,[{'sex': 1.0}],[{'sex': 0.0}],27133,9044,9045,0.8500829187396352,0.6333153055705787,-0.08422229174122098,0.14970059880239517,0.5528162492418303,1.3007411998696625,2.3350000847131014,3.9897499373182654,6,0,3,preprocessing,2,"{""n_estimators"": 100, ""max_depth"": 10, ""class_weight"": null, ""val_acc"": 0.8529411764705882}",0.6.1,1.5.2,tuned_hp
adult,rf,dir,1024,1024,1024,sex,[{'sex': 1.0}],[{'sex': 0.0}],27133,9044,9045,0.8512990602542841,0.6440857369674517,-0.15998704747376144,-0.11012252225109531,0.27905467758318275,1.1114244000054896,3.562049940228462,7.510299910791218,24,1,5,preprocessing,3,"{""n_estimators"": 100, ""max_depth"": 10, ""class_weight"": null, ""val_acc"": 0.8512826183104821, ""repair_level"": 1.0, ""n_quantiles"": 101}",0.6.1,1.5.2,tuned_hp
adult,rf,eqodds,1024,1024,1024,sex,[{'sex': 1.0}],[{'sex': 0.0}],27133,9044,9045,0.8250967385295743,0.5765524625267666,-0.08086920121741711,-0.00860229227080428,0.5775985092955099,2.432116099866107,4.633349948562682,8.876750012859702,22,0,3,postprocessing,3,"{""n_estimators"": 200, ""max_depth"": 10, ""class_weight"": null, ""val_acc"": 0.8545997346306944}",0.6.1,1.5.2,tuned_hp
adult,lr,baseline,2048,2048,2048,sex,[{'sex': 1.0}],[{'sex': 0.0}],27133,9044,9045,0.8489773355444997,0.6663409868099658,-0.18133414140810744,-0.0745866757051934,0.31228182146714034,0.11999050015583634,0.047900015488266945,0.13259996194392443,0,0,1,none,1,"{""C"": 1.0, ""val_acc"": 0.8447589562140646}",0.6.1,1.5.2,tuned_hp
adult,lr,reweighing,2048,2048,2048,sex,[{'sex': 1.0}],[{'sex': 0.0}],27133,9044,9045,0.8423438363736871,0.6378872524123921,-0.08320588286757027,0.17903187336019777,0.6121716635195541,0.13399660005234182,0.04810001701116562,0.13085000682622194,6,0,1,preprocessing,2,"{""C"": 1.0, ""val_acc"": 0.8394515701017249}",0.6.1,1.5.2,tuned_hp
adult,lr,dir,2048,2048,2048,sex,[{'sex': 1.0}],[{'sex': 0.0}],27133,9044,9045,0.8505251520176893,0.6673228346456693,-0.17591691615306626,-0.05983944061562407,0.31972850536376024,0.4567579000722617,1.8083000322803855,4.062050022184849,24,1,3,preprocessing,3,"{""C"": 1.0, ""val_acc"": 0.8461963732861566, ""repair_level"": 1.0, ""n_quantiles"": 101}",0.6.1,1.5.2,tuned_hp
adult,lr,eqodds,2048,2048,2048,sex,[{'sex': 1.0}],[{'sex': 0.0}],27133,9044,9045,0.8190160309563295,0.5805790417627466,-0.08553821803240852,0.07814559560125034,0.5954327193602739,0.10822369996458292,0.12529990635812283,0.2790499711409211,22,0,1,postprocessing,3,"{""C"": 1.0, ""val_acc"": 0.8447589562140646}",0.6.1,1.5.2,tuned_hp
adult,rf,baseline,2048,2048,2048,sex,[{'sex': 1.0}],[{'sex': 0.0}],27133,9044,9045,0.8503040353786623,0.6414194915254238,-0.16050377770870458,-0.0929053842001531,0.2761919743800959,1.5246526000555605,2.1919000428169966,5.198299884796143,0,0,3,none,1,"{""n_estimators"": 100, ""max_depth"": 10, ""class_weight"": null, ""val_acc"": 0.854046881910659}",0.6.1,1.5.2,tuned_hp
adult,rf,reweighing,2048,2048,2048,sex,[{'sex': 1.0}],[{'sex': 0.0}],27133,9044,9045,0.8499723604201216,0.6355089981197959,-0.08529247443960153,0.1574837745891865,0.5544945689236895,2.181333800079301,4.522350034676492,9.760400047525764,6,0,3,preprocessing,2,"{""n_estimators"": 200, ""max_depth"": 10, ""class_weight"": null, ""val_acc"": 0.8520566121185317}",0.6.1,1.5.2,tuned_hp
adult,rf,dir,2048,2048,2048,sex,[{'sex': 1.0}],[{'sex': 0.0}],27133,9044,9045,0.8511885019347706,0.641640042598509,-0.15470818533457964,-0.08624260912137988,0.28920377753728876,2.7714609999675304,5.72019990067929,11.691150022670627,24,1,5,preprocessing,3,"{""n_estimators"": 200, ""max_depth"": 10, ""class_weight"": null, ""val_acc"": 0.8512826183104821, ""repair_level"": 1.0, ""n_quantiles"": 101}",0.6.1,1.5.2,tuned_hp
adult,rf,eqodds,2048,2048,2048,sex,[{'sex': 1.0}],[{'sex': 0.0}],27133,9044,9045,0.8202321724709785,0.5406779661016949,-0.06943465711301765,0.0718813944438168,0.5818855854713159,1.1526329996995628,2.354250056669116,11.607100022956729,22,0,3,postprocessing,3,"{""n_estimators"": 100, ""max_depth"": 10, ""class_weight"": null, ""val_acc"": 0.854046881910659}",0.6.1,1.5.2,tuned_hp
adult,lr,baseline,4096,4096,4096,sex,[{'sex': 1.0}],[{'sex': 0.0}],27133,9044,9045,0.8505251520176893,0.6669950738916256,-0.18635037553075878,-0.11508115843784128,0.2875044502249135,0.16448520007543266,0.11479994282126427,0.38490002043545246,0,0,1,none,1,"{""C"": 0.1, ""val_acc"": 0.8437638213180009}",0.6.1,1.5.2,tuned_hp
adult,lr,reweighing,4096,4096,4096,sex,[{'sex': 1.0}],[{'sex': 0.0}],27133,9044,9045,0.8424543946932007,0.6400606213690326,-0.07958877122296834,0.16623043221732636,0.6310030090452204,0.14339109999127686,0.13785006012767553,0.3931501414626837,6,0,1,preprocessing,2,"{""C"": 10.0, ""val_acc"": 0.8385670057496682}",0.6.1,1.5.2,tuned_hp
adult,lr,dir,4096,4096,4096,sex,[{'sex': 1.0}],[{'sex': 0.0}],27133,9044,9045,0.85085682697623,0.6638425118365313,-0.17714095328676205,-0.11410512308715909,0.30082568793214676,0.4928794000297785,2.637899946421385,4.918500082567334,24,1,3,preprocessing,3,"{""C"": 0.1, ""val_acc"": 0.8466386554621849, ""repair_level"": 1.0, ""n_quantiles"": 101}",0.6.1,1.5.2,tuned_hp
adult,lr,eqodds,4096,4096,4096,sex,[{'sex': 1.0}],[{'sex': 0.0}],27133,9044,9045,0.8245439469320066,0.6167592368992997,-0.0993150162040316,-0.03954355440063273,0.5899814138324428,0.10392869985662401,0.15320000238716602,0.4339501028880477,22,0,1,postprocessing,3,"{""C"": 0.1, ""val_acc"": 0.8437638213180009}",0.6.1,1.5.2,tuned_hp
adult,rf,baseline,4096,4096,4096,sex,[{'sex': 1.0}],[{'sex': 0.0}],27133,9044,9045,0.8583747927031509,0.6610214342418629,-0.1625071730938739,-0.12337588972997399,0.2703905890358866,0.9661212998908013,2.0405499963089824,3.9115501567721367,0,0,3,none,1,"{""n_estimators"": 100, ""max_depth"": 10, ""class_weight"": null, ""val_acc"": 0.8502874834144184}",0.6.1,1.5.2,tuned_hp
adult,rf,reweighing,4096,4096,4096,sex,[{'sex': 1.0}],[{'sex': 0.0}],27133,9044,9045,0.8505251520176893,0.6312056737588653,-0.07242921832250854,0.15703812500784592,0.5997712153147176,0.9243175000883639,1.8904500175267458,3.5825500963255763,6,0,3,preprocessing,2,"{""n_estimators"": 100, ""max_depth"": 10, ""class_weight"": null, ""val_acc"": 0.8456435205661211}",0.6.1,1.5.2,tuned_hp
