"dataset","model","method","seed","batch_size","latency_ms_median","latency_ms_mean","latency_ms_std","latency_ci_lo","latency_ci_hi","throughput_per_sec","aif360_version","sklearn_version","notes"
"adult","rf","eqodds","256","1024","21.474699955433607","22.872902003582567","3.1055240716142567","21.217748668277636","21.870099939405918","47684.01896767381","0.6.1","1.5.2","multi_batch"
"adult","lr","baseline","789","1","0.08324999362230301","0.08371900534257293","0.003511685577951924","0.0830001663416624","0.08349993731826544","12012.012932239984","0.6.1","1.5.2","multi_batch"
"adult","lr","baseline","789","32","0.08890009485185146","0.0890940148383379","0.0012305697336775561","0.08870009332895279","0.08910009637475014","359954.6215707278","0.6.1","1.5.2","multi_batch"
"adult","lr","baseline","789","128","0.19710010383278131","0.20654200809076428","0.041201746822720216","0.192799954675138","0.20915002096444368","649416.1977133941","0.6.1","1.5.2","multi_batch"
"adult","lr","baseline","789","256","0.19274989608675241","0.22154798731207848","0.11298699406886341","0.18830003682523966","0.1968001015484333","1328145.981903825","0.6.1","1.5.2","multi_batch"
"adult","lr","baseline","789","1024","0.345699954777956","0.3641229937784374","0.06244028200419279","0.34369993954896927","0.34764991141855717","2962106.2596253967","0.6.1","1.5.2","multi_batch"
"adult","lr","reweighing","789","1","0.10125001426786184","0.12815299909561872","0.04063294795486057","0.09784998837858438","0.13658630196005087","9876.541818102378","0.6.1","1.5.2","multi_batch"
"adult","lr","reweighing","789","32","0.10145001579076052","0.11256500380113721","0.025648254014096847","0.10130007285624743","0.10245002340525389","315426.2692871298","0.6.1","1.5.2","multi_batch"
"adult","lr","reweighing","789","128","0.22375001572072506","0.2448629937134683","0.07487528909936625","0.21379999816417694","0.23890381853561846","572066.99891259","0.6.1","1.5.2","multi_batch"
"adult","lr","reweighing","789","256","0.22655015345662832","0.24300601100549102","0.06563299580571592","0.20264997147023678","0.260600121691823","1129992.6135296556","0.6.1","1.5.2","multi_batch"
"adult","lr","reweighing","789","1024","0.3521998878568411","0.38686601212248206","0.0921383398220029","0.3506499342620373","0.35450127033982426","2907439.8808900984","0.6.1","1.5.2","multi_batch"
"adult","lr","dir","789","1","1.545349950902164","1.6312809940427542","0.23672707930549358","1.5285001136362553","1.5633573580998927","647.102618676247","0.6.1","1.5.2","multi_batch"
"adult","lr","dir","789","32","2.6736001018434763","2.9688880033791065","0.5609023246262257","2.647500019520521","2.8157001361250877","11968.880453713198","0.6.1","1.5.2","multi_batch"
"adult","lr","dir","789","128","2.941250102594495","3.1538730091415346","0.43278702723632395","2.9227999038994312","2.971000038087368","43518.91050920505","0.6.1","1.5.2","multi_batch"
"adult","lr","dir","789","256","3.471749951131642","3.83812899235636","0.6830497246232187","3.4310000482946634","3.6179000744596124","73738.02940979518","0.6.1","1.5.2","multi_batch"
"adult","lr","dir","789","1024","6.189349922351539","6.486274008639157","0.8388568209221615","5.972949904389679","6.48530013859272","165445.4850423045","0.6.1","1.5.2","multi_batch"
"adult","lr","eqodds","789","1","0.15404995065182447","0.16275899717584252","0.02912512286863008","0.15380000695586205","0.15489989891648293","6491.400975909087","0.6.1","1.5.2","multi_batch"
"adult","lr","eqodds","789","32","0.2866499125957489","0.2784410142339766","0.07901627869202366","0.22500008344650269","0.3137001767754555","111634.43138783838","0.6.1","1.5.2","multi_batch"
"adult","lr","eqodds","789","128","0.3966999938711524","0.3966189967468381","0.06786865133315248","0.38950005546212196","0.4021000349894166","322661.966164724","0.6.1","1.5.2","multi_batch"
"adult","lr","eqodds","789","256","0.36429997999221087","0.4137899982742965","0.1063185535333137","0.3543999046087265","0.36880001425743103","702717.5790826932","0.6.1","1.5.2","multi_batch"
"adult","lr","eqodds","789","1024","0.7593000773340464","0.7965950015932322","0.12315164152881182","0.7542499806731939","0.7638500537723303","1348610.4250052664","0.6.1","1.5.2","multi_batch"
"adult","rf","baseline","789","1","1.924749929457903","2.0194429950788617","0.27548104839113713","1.9010799296665937","1.944399904459715","519.5480122873133","0.6.1","1.5.2","multi_batch"
"adult","rf","baseline","789","32","3.1617999775335193","3.248006012290716","0.43816634352853706","3.041700110770762","3.2423000084236264","10120.817327907884","0.6.1","1.5.2","multi_batch"
"adult","rf","baseline","789","128","5.81594998948276","6.496744982432574","1.7476104452019168","5.703049944713712","6.0980000998824835","22008.442340712707","0.6.1","1.5.2","multi_batch"
"adult","rf","baseline","789","256","8.84509994648397","9.331442003604025","1.9834827200672962","8.725800085812807","8.928150054998696","28942.578551841347","0.6.1","1.5.2","multi_batch"
"adult","rf","baseline","789","1024","20.685800001956522","21.85229399241507","2.228593152517294","20.575099857524037","21.04562000313308","49502.557305163304","0.6.1","1.5.2","multi_batch"
"adult","rf","reweighing","789","1","1.9056499004364014","2.0010280003771186","0.25923639459081615","1.8925000913441181","1.9222500268369913","524.7553602427162","0.6.1","1.5.2","multi_batch"
"adult","rf","reweighing","789","32","3.2420000061392784","3.4438049979507923","0.7510615456842498","3.1299999682232738","3.3462511783000077","9870.450320605354","0.6.1","1.5.2","multi_batch"
"adult","rf","reweighing","789","128","5.825150059536099","6.197406984865665","0.8295463160282314","5.782600026577711","6.060600164346397","21973.68285653977","0.6.1","1.5.2","multi_batch"
"adult","rf","reweighing","789","256","8.905000053346157","9.0078020025976","0.762787264861398","8.616200066171587","9.054549969732761","28747.8942691084","0.6.1","1.5.2","multi_batch"
"adult","rf","reweighing","789","1024","21.148549974896014","21.934437004383653","2.3137589839250845","20.89850010816008","21.37520001269877","48419.39524059663","0.6.1","1.5.2","multi_batch"
"adult","rf","dir","789","1","3.4536999883130193","3.7063130037859082","0.5247557522959613","3.4126000246033072","3.531599882990122","289.54454740825827","0.6.1","1.5.2","multi_batch"
"adult","rf","dir","789","32","6.2790000811219215","6.686124016996473","1.1095102355486381","6.153349997475743","6.515800021588802","5096.352856597239","0.6.1","1.5.2","multi_batch"
"adult","rf","dir","789","128","9.39264998305589","9.736181003972888","1.3308687129425159","9.125699987635016","9.583499981090426","13627.676984760303","0.6.1","1.5.2","multi_batch"
"adult","rf","dir","789","256","12.645300012081861","13.410047993529588","1.9054114952441947","12.539019962423481","12.918299878947437","20244.675868141258","0.6.1","1.5.2","multi_batch"
"adult","rf","dir","789","1024","28.62030011601746","30.132462987676263","4.275674543191191","28.194200014695525","29.26789872872177","35778.80021694512","0.6.1","1.5.2","multi_batch"
"adult","rf","eqodds","789","1","2.0647000055760145","2.4391939933411777","0.7596163869522569","1.9826949632260948","2.3552998900413513","484.3318628853385","0.6.1","1.5.2","multi_batch"
"adult","rf","eqodds","789","32","3.346150042489171","3.4681910020299256","0.49448910932164675","3.2604499720036983","3.4678499214351177","9563.229261589086","0.6.1","1.5.2","multi_batch"
